pokemon,pokedex_no,hp,attack,defense,special_attack,special_defense,speed,height,weight,type_1,type_2
falinks,870,65,100,100,70,60,75,3.0,62.0,fighting,
pincurchin,871,48,101,95,91,85,15,0.3,1.0,electric,
snom,872,30,25,35,45,30,20,0.3,3.8,ice,bug
frosmoth,873,70,65,60,125,90,65,1.3,42.0,ice,bug
stonjourner,874,100,125,135,20,20,70,2.5,520.0,rock,
eiscue-ice,875,75,80,110,65,90,50,1.4,89.0,ice,
indeedee-male,876,60,65,55,105,95,95,0.9,28.0,psychic,normal
morpeko-full-belly,877,58,95,58,70,58,97,0.3,3.0,electric,dark
cufant,878,72,80,49,40,49,40,1.2,100.0,steel,
copperajah,879,122,130,69,80,69,30,3.0,650.0,steel,
dracozolt,880,90,100,90,80,70,75,1.8,190.0,electric,dragon
arctozolt,881,90,100,90,90,80,55,2.3,150.0,electric,ice
dracovish,882,90,90,100,70,80,75,2.3,215.0,water,dragon
arctovish,883,90,90,100,80,90,55,2.0,175.0,water,ice
duraludon,884,70,95,115,120,50,85,1.8,40.0,steel,dragon
dreepy,885,28,60,30,40,30,82,0.5,2.0,dragon,ghost
drakloak,886,68,80,50,60,50,102,1.4,11.0,dragon,ghost
dragapult,887,88,120,75,100,75,142,3.0,50.0,dragon,ghost
zacian,888,92,120,115,80,115,138,2.8,110.0,fairy,
zamazenta,889,92,120,115,80,115,138,2.9,210.0,fighting,
eternatus,890,140,85,95,145,95,130,20.0,950.0,poison,dragon
kubfu,891,60,90,60,53,50,72,0.6,12.0,fighting,
urshifu-single-strike,892,100,130,100,63,60,97,1.9,105.0,fighting,dark
zarude,893,105,120,105,70,95,105,1.8,70.0,dark,grass
regieleki,894,80,100,50,100,50,200,1.2,145.0,electric,
regidrago,895,200,100,50,100,50,80,2.1,200.0,dragon,
glastrier,896,100,145,130,65,110,30,2.2,800.0,ice,
spectrier,897,100,65,60,145,80,130,2.0,44.5,ghost,
calyrex,898,100,80,80,80,80,80,1.1,7.7,psychic,grass
wyrdeer,899,103,105,72,105,75,65,1.8,95.1,normal,psychic
kleavor,900,70,135,95,45,70,85,1.8,89.0,bug,rock
ursaluna,901,130,140,105,45,80,50,2.4,290.0,ground,normal
basculegion-male,902,120,112,65,80,75,78,3.0,110.0,water,ghost
sneasler,903,80,130,60,40,80,120,1.3,43.0,fighting,poison
overqwil,904,85,115,95,65,65,85,2.5,60.5,dark,poison
enamorus-incarnate,905,74,115,70,135,80,106,1.6,48.0,fairy,flying
sprigatito,906,40,61,54,45,45,65,0.4,4.1,grass,
floragato,907,61,80,63,60,63,83,0.9,12.2,grass,
meowscarada,908,76,110,70,81,70,123,1.5,31.2,grass,dark
fuecoco,909,67,45,59,63,40,36,0.4,9.8,fire,
crocalor,910,81,55,78,90,58,49,1.0,30.7,fire,
skeledirge,911,104,75,100,110,75,66,1.6,326.5,fire,ghost
quaxly,912,55,65,45,50,45,50,0.5,6.1,water,
quaxwell,913,70,85,65,65,60,65,1.2,21.5,water,
quaquaval,914,85,120,80,85,75,85,1.8,61.9,water,fighting
lechonk,915,54,45,40,35,45,35,0.5,10.2,normal,
oinkologne-male,916,110,100,75,59,80,65,1.0,120.0,normal,
tarountula,917,35,41,45,29,40,20,0.3,4.0,bug,
spidops,918,60,79,92,52,86,35,1.0,16.5,bug,
nymble,919,33,46,40,21,25,45,0.2,1.0,bug,
lokix,920,71,102,78,52,55,92,1.0,17.5,bug,dark
pawmi,921,45,50,20,40,25,60,0.3,2.5,electric,
pawmo,922,60,75,40,50,40,85,0.4,6.5,electric,fighting
pawmot,923,70,115,70,70,60,105,0.9,41.0,electric,fighting
tandemaus,924,50,50,45,40,45,75,0.3,1.8,normal,
maushold-family-of-four,925,74,75,70,65,75,111,0.3,2.8,normal,
fidough,926,37,55,70,30,55,65,0.3,10.9,fairy,
dachsbun,927,57,80,115,50,80,95,0.5,14.9,fairy,
smoliv,928,41,35,45,58,51,30,0.3,6.5,grass,normal
dolliv,929,52,53,60,78,78,33,0.6,11.9,grass,normal
arboliva,930,78,69,90,125,109,39,1.4,48.2,grass,normal
squawkabilly-green-plumage,931,82,96,51,45,51,92,0.6,2.4,normal,flying
nacli,932,55,55,75,35,35,25,0.4,16.0,rock,
naclstack,933,60,60,100,35,65,35,0.6,105.0,rock,
garganacl,934,100,100,130,45,90,35,2.3,240.0,rock,
charcadet,935,40,50,40,50,40,35,0.6,10.5,fire,
armarouge,936,85,60,100,125,80,75,1.5,85.0,fire,psychic
ceruledge,937,75,125,80,60,100,85,1.6,62.0,fire,ghost
tadbulb,938,61,31,41,59,35,45,0.3,0.4,electric,
bellibolt,939,109,64,91,103,83,45,1.2,113.0,electric,
wattrel,940,40,40,35,55,40,70,0.4,3.6,electric,flying
kilowattrel,941,70,70,60,105,60,125,1.4,38.6,electric,flying
maschiff,942,60,78,60,40,51,51,0.5,16.0,dark,
mabosstiff,943,80,120,90,60,70,85,1.1,61.0,dark,
shroodle,944,40,65,35,40,35,75,0.2,0.7,poison,normal
grafaiai,945,63,95,65,80,72,110,0.7,27.2,poison,normal
bramblin,946,40,65,30,45,35,60,0.6,0.6,grass,ghost
brambleghast,947,55,115,70,80,70,90,1.2,6.0,grass,ghost
toedscool,948,40,40,35,50,100,70,0.9,33.0,ground,grass
toedscruel,949,80,70,65,80,120,100,1.9,58.0,ground,grass
klawf,950,70,100,115,35,55,75,1.3,79.0,rock,
capsakid,951,50,62,40,62,40,50,0.3,3.0,grass,
scovillain,952,65,108,65,108,65,75,0.9,15.0,grass,fire
rellor,953,41,50,60,31,58,30,0.2,1.0,bug,
rabsca,954,75,50,85,115,100,45,0.3,3.5,bug,psychic
flittle,955,30,35,30,55,30,75,0.2,1.5,psychic,
espathra,956,95,60,60,101,60,105,1.9,90.0,psychic,
tinkatink,957,50,45,45,35,64,58,0.4,8.9,fairy,steel
tinkatuff,958,65,55,55,45,82,78,0.7,59.1,fairy,steel
tinkaton,959,85,75,77,70,105,94,0.7,112.8,fairy,steel
wiglett,960,10,55,25,35,25,95,1.2,1.8,water,
wugtrio,961,35,100,50,50,70,120,1.2,5.4,water,
bombirdier,962,70,103,85,60,85,82,1.5,42.9,flying,dark
finizen,963,70,45,40,45,40,75,1.3,60.2,water,
palafin-zero,964,100,70,72,53,62,100,1.3,60.2,water,
varoom,965,45,70,63,30,45,47,1.0,35.0,steel,poison
revavroom,966,80,119,90,54,67,90,1.8,120.0,steel,poison
cyclizar,967,70,95,65,85,65,121,1.6,63.0,dragon,normal
orthworm,968,70,85,145,60,55,65,2.5,310.0,steel,
glimmet,969,48,35,42,105,60,60,0.7,8.0,rock,poison
glimmora,970,83,55,90,130,81,86,1.5,45.0,rock,poison
greavard,971,50,61,60,30,55,34,0.6,35.0,ghost,
houndstone,972,72,101,100,50,97,68,2.0,15.0,ghost,
flamigo,973,82,115,74,75,64,90,1.6,37.0,flying,fighting
cetoddle,974,108,68,45,30,40,43,1.2,45.0,ice,
cetitan,975,170,113,65,45,55,73,4.5,700.0,ice,
veluza,976,90,102,73,78,65,70,2.5,90.0,water,psychic
dondozo,977,150,100,115,65,65,35,12.0,220.0,water,
tatsugiri-curly,978,68,50,60,120,95,82,0.3,8.0,dragon,water
annihilape,979,110,115,80,50,90,90,1.2,56.0,fighting,ghost
clodsire,980,130,75,60,45,100,20,1.8,223.0,poison,ground
farigiraf,981,120,90,70,110,70,60,3.2,160.0,normal,psychic
dudunsparce-two-segment,982,125,100,80,85,75,55,3.6,39.2,normal,
kingambit,983,100,135,120,60,85,50,2.0,120.0,dark,steel
great-tusk,984,115,131,131,53,53,87,2.2,320.0,ground,fighting
scream-tail,985,115,65,99,65,115,111,1.2,8.0,fairy,psychic
brute-bonnet,986,111,127,99,79,99,55,1.2,21.0,grass,dark
flutter-mane,987,55,55,55,135,135,135,1.4,4.0,ghost,fairy
slither-wing,988,85,135,79,85,105,81,3.2,92.0,bug,fighting
sandy-shocks,989,85,81,97,121,85,101,2.3,60.0,electric,ground
iron-treads,990,90,112,120,72,70,106,0.9,240.0,ground,steel
iron-bundle,991,56,80,114,124,60,136,0.6,11.0,ice,water
iron-hands,992,154,140,108,50,68,50,1.8,380.7,fighting,electric
iron-jugulis,993,94,80,86,122,80,108,1.3,111.0,dark,flying
iron-moth,994,80,70,60,140,110,110,1.2,36.0,fire,poison
iron-thorns,995,100,134,110,70,84,72,1.6,303.0,rock,electric
frigibax,996,65,75,45,35,45,55,0.5,17.0,dragon,ice
arctibax,997,90,95,66,45,65,62,0.8,30.0,dragon,ice
baxcalibur,998,115,145,92,75,86,87,2.1,210.0,dragon,ice
gimmighoul,999,45,30,70,75,70,10,0.3,5.0,ghost,
gholdengo,1000,87,60,95,133,91,84,1.2,30.0,steel,ghost
wo-chien,1001,85,85,100,95,135,70,1.5,74.2,dark,grass
chien-pao,1002,80,120,80,90,65,135,1.9,152.2,dark,ice
ting-lu,1003,155,110,125,55,80,45,2.7,699.7,dark,ground
chi-yu,1004,55,80,80,135,120,100,0.4,4.9,dark,fire
roaring-moon,1005,105,139,71,55,101,119,2.0,380.0,dragon,dark
iron-valiant,1006,74,130,90,120,60,116,1.4,35.0,fairy,fighting
koraidon,1007,100,135,115,85,100,135,2.5,303.0,fighting,dragon
miraidon,1008,100,85,100,135,115,135,3.5,240.0,electric,dragon
walking-wake,1009,99,83,91,125,83,109,3.5,280.0,water,dragon
iron-leaves,1010,90,130,88,70,108,104,1.5,125.0,grass,psychic
dipplin,1011,80,80,110,95,80,40,0.4,9.7,grass,dragon
poltchageist,1012,40,45,45,74,54,50,0.1,1.1,grass,ghost
sinistcha,1013,71,60,106,121,80,70,0.2,2.2,grass,ghost
okidogi,1014,88,128,115,58,86,80,1.8,92.2,poison,fighting
munkidori,1015,88,75,66,130,90,106,1.0,12.2,poison,psychic
fezandipiti,1016,88,91,82,70,125,99,1.4,30.1,poison,fairy
ogerpon,1017,80,120,84,60,96,110,1.2,39.8,grass,
archaludon,1018,90,105,130,125,65,85,2.0,60.0,steel,dragon
hydrapple,1019,106,80,110,120,80,44,1.8,93.0,grass,dragon
gouging-fire,1020,105,115,121,65,93,91,3.5,590.0,fire,dragon
raging-bolt,1021,125,73,91,137,89,75,5.2,480.0,electric,dragon
iron-boulder,1022,90,120,80,68,108,124,1.5,162.5,rock,psychic
iron-crown,1023,90,72,100,122,108,98,1.6,156.0,steel,psychic
terapagos,1024,90,65,85,65,85,60,0.2,6.5,normal,
pecharunt,1025,88,88,160,88,88,88,0.3,0.3,poison,ghost
